iter	Passed	Remaining
0	0	77
1	1	91
2	3	100
3	3	87
4	5	102
5	5	93
6	6	89
7	7	82
8	7	78
9	8	76
10	9	73
11	9	70
12	10	67
13	10	64
14	11	62
15	11	60
16	11	58
17	12	58
18	13	56
19	13	55
20	14	53
21	14	51
22	15	50
23	15	49
24	15	47
25	16	46
26	16	45
27	17	44
28	17	43
29	17	41
30	18	41
31	18	40
32	19	39
33	20	38
34	21	39
35	22	40
36	23	39
37	24	39
38	24	38
39	25	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	34
45	28	33
46	29	33
47	30	32
48	30	32
49	31	31
50	31	30
51	32	29
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	39	24
62	40	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	20
68	43	19
69	43	18
70	44	18
71	44	17
72	45	16
73	45	16
74	46	15
75	47	15
76	48	14
77	48	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	53	8
87	54	7
88	54	6
89	55	6
90	55	5
91	56	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	58	1
98	59	0
99	59	0
