iter	Passed	Remaining
0	0	552
1	0	430
2	1	392
3	1	369
4	1	352
5	2	342
6	2	334
7	2	328
8	2	327
9	3	321
10	3	319
11	3	315
12	4	314
13	4	313
14	4	313
15	5	312
16	5	312
17	5	313
18	6	313
19	6	314
20	6	325
21	7	326
22	7	325
23	8	328
24	8	333
25	8	335
26	9	335
27	9	335
28	10	336
29	10	335
30	10	336
31	11	338
32	11	337
33	11	335
34	12	334
35	12	333
36	12	332
37	13	331
38	13	330
39	13	329
40	14	328
41	14	327
42	14	326
43	14	325
44	15	324
45	15	322
46	15	321
47	16	320
48	16	320
49	16	319
50	17	318
51	17	317
52	17	316
53	18	315
54	18	315
55	18	314
56	18	313
57	19	313
58	19	312
59	19	312
60	20	311
61	20	311
62	20	311
63	21	310
64	21	310
65	21	310
66	22	309
67	22	309
68	22	308
69	23	309
70	23	309
71	24	309
72	24	312
73	24	312
74	25	312
75	25	311
76	26	311
77	26	311
78	26	311
79	26	310
80	27	309
81	27	309
82	27	307
83	28	306
84	28	306
85	28	305
86	29	304
87	29	304
88	29	303
89	29	303
90	30	302
91	30	301
92	30	301
93	31	300
94	31	299
95	31	299
96	32	299
97	32	298
98	32	297
99	33	297
100	33	296
101	33	296
102	33	295
103	34	294
104	34	294
105	34	294
106	35	293
107	35	293
108	35	292
109	36	292
110	36	291
111	37	294
112	37	294
113	37	293
114	38	293
115	38	293
116	38	293
117	39	293
118	39	293
119	39	293
120	40	293
121	40	292
122	41	292
123	41	292
124	41	292
125	42	291
126	42	290
127	42	290
128	42	290
129	43	289
130	43	289
131	43	288
132	44	288
133	44	287
134	44	287
135	45	286
136	45	286
137	45	285
138	46	285
139	46	284
140	46	284
141	46	283
142	47	282
143	47	282
144	47	281
145	48	281
146	48	281
147	48	280
148	49	280
149	49	279
150	49	279
151	49	278
152	50	278
153	50	278
154	50	277
155	51	277
156	51	276
157	51	276
158	52	276
159	52	275
160	52	274
161	53	274
162	53	274
163	53	273
164	54	273
165	54	273
166	54	272
167	55	272
168	55	272
169	55	271
170	56	271
171	56	271
172	56	271
173	57	270
174	57	270
175	57	270
176	58	270
177	58	269
178	58	269
179	59	269
180	59	268
181	60	270
182	60	269
